,storyline,cast
In the Heat of the Night (1967),"A French woman and a Japanese man have an affair while she is in Japan making a film about peace and the impact of the atomic bomb on Hiroshima, The man, an architect, lost his family in the bombing. She recalls her lover during the war, a 23 year-old German soldier who later died. Despite the time they spend together, her attachment appears minimal and they go forward into the future.","{'Elle': 'Emmanuelle Riva', 'Lui': 'Eiji Okada', 'Mother': 'Stella Dassas', 'Father': 'Pierre Barbaud', 'German Lover': 'Bernard Fresson'}"
Charade (1963),"To escape the edict of Egypt's Pharaoh Rameses I (Ian Keith), condemning all newborn Hebrew males, the infant Moses (Fraser C. Heston) is set adrift on the Nile in a reed basket. Saved by the pharaoh's daughter Bithiah (Nina Foch), he is adopted by her and brought up in the court of her brother, Pharaoh Sethi (Sir Cedric Hardwicke). Moses (Charlton Heston) gains Sethi's favor and the love of the throne Princess Nefretiri (Anne Baxter), as well as the hatred of Sethi's son, Rameses II (Yul Brynner). When his Hebrew heritage is revealed, Moses is cast out of Egypt, and makes his way across the desert where he marries, has a son, and is commanded by God to return to Egypt to free the Hebrews from slavery. In Egypt, Moses' fiercest enemy proves to be not Rameses II, but someone near to him who can ""harden his heart"".","{'Moses': 'Charlton Heston', 'Rameses': 'Yul Brynner', 'Nefretiri': 'Anne Baxter', 'Dathan': 'Edward G. Robinson', 'Sephora': 'Yvonne De Carlo'}"
The Manchurian Candidate (1962),"After a long three-year absence, the battle-scarred Confederate veteran of the American Civil War, Ethan Edwards turns up on the remote and dusty Texan homestead of his brother, Aaron. In high hopes of finding peace, instead, the taciturn former soldier will embark on a treacherous five-year odyssey of retribution, when the ruthless Chief Scar's murderous Comanche raiding party massacres his family, burns the ranch to the ground, and abducts his nine-year-old niece, Debbie. Driven by hatred of Indians, Ethan and his young companion, Martin Pawley, ride through the unforgiving desert to track down their lost Debbie; however, is the woman they lost and the prisoner in Scar's teepee still the same woman the searchers seek? —Nick Riganas","{'Ethan Edwards': 'John Wayne', 'Martin Pawley': 'Jeffrey Hunter', 'Laurie Jorgensen': 'Vera Miles', 'Rev. Capt. Samuel Johnston Clayton': 'Ward Bond', 'Debbie Edwards - Age 15': 'Natalie Wood'}"
Spartacus (1960),"In the Salinas Valley, in and around World War I, Cal Trask feels he must compete against overwhelming odds with his brother Aron for the love of their father Adam. Cal is frustrated at every turn, from his reaction to the war, to how to get ahead in business and in life, to how to relate to estranged mother.","{'Abra': 'Julie Harris', 'Cal Trask': 'James Dean', 'Adam Trask': 'Raymond Massey', 'Sam - the Sheriff': 'Burl Ives', 'Aron Trask': 'Richard Davalos'}"
L'avventura (1960),"The classic stage hit gets the Hollywood treatment in the story of Elwood P. Dowd who makes friends with a spirit taking the form of a human-sized rabbit named Harvey that only he sees (and a few privileged others on occasion also.) After his sister tries to commit him to a mental institution, a comedy of errors ensues. Elwood and Harvey become the catalysts for a family mending its wounds and for romance blossoming in unexpected places.","{'Ellis Logfren, The Taxi Driver': 'Wallace Ford', 'Judge Omar Gaffney': 'William H. Lynn', 'Myrtle Mae Simmons': 'Victoria Horne', 'Martin Wilson': 'Jesse White', 'Dr. William Chumley': 'Cecil Kellaway'}"
Hiroshima mon amour (1959),"At the Macy's Thanksgiving Day Parade, the actor playing Santa is discovered to be drunk by a whiskered old man. Doris Walker, the no nonsense special events director, persuades him to take his place. He proves to be a sensation and is quickly recruited to be the store Santa at the main store. While he is successful, Doris learns that he calls himself Kris Kringle and he claims to be the actual Santa Claus. Despite reassurances by his doctor that he is harmless, Doris still has misgivings, especially when she has cynically trained herself, and especially her daughter, Susan, to reject all notions of belief and fantasy. And yet, people, especially Susan, begin to notice there is something special about Kris and his determination to advance the true spirit of Christmas among the rampant commercialism around him and succeeding in improbable ways. When a raucous conflict with the store's cruelly incompetent therapist, Granville Sawyer, erupts, he finds himself held at Bellevue where, in despair, he deliberately fails a mental examination to ensure his commitment. All seems lost until Doris' friend, Fred Gailey, reassures him of his worth and agrees to represent him in the fight to secure his release. To achieve that, Fred arranges a formal hearing in which he argues that Kris is sane because he is in fact Santa Claus. What ensues is a bizarre hearing in which people's beliefs are reexamined and put to the test, but even so, it's going to take a miracle for Kris to win.","{'Doris Walker': ""Maureen O'Hara"", 'Fred Gailey': 'John Payne', 'Kris Kringle': 'Edmund Gwenn', 'Judge Henry X. Harper': 'Gene Lockhart', 'Susan Walker': 'Natalie Wood'}"
The Ten Commandments (1956),"P.I. Philip Marlowe's hired by a wealthy general to find out and stop his daughter, Carmen from being blackmailed over gambling debts, Marlowe finds himself deep within a web of love triangles, blackmail, murder, gambling, and organised crime. With help from Vivian (another of the general's daughters), Marlowe hatches a plot to free the family from this web and trap the real culprit.","{'Philip Marlowe': 'Humphrey Bogart', 'Vivian Rutledge': 'Lauren Bacall', 'Eddie Mars': 'John Ridgely', 'Carmen Sternwood': 'Martha Vickers', 'Acme Book Shop Proprietress': 'Dorothy Malone'}"
The Searchers (1956),"Don Birnam, long-time alcoholic, has been ""on the wagon"" for ten days and seems to be over the worst; but his craving has just become more insidious. Evading a country weekend planned by his brother Wick and girlfriend Helen, he begins a four-day bender. In flashbacks we see past events, all gone wrong because of the bottle. But this bout looks like being his last...one way or the other.","{'Don Birnam': 'Ray Milland', 'Helen St. James': 'Jane Wyman', 'Wick Birnam': 'Phillip Terry', 'Nat': 'Howard Da Silva', 'Gloria': 'Doris Dowling'}"
East of Eden (1955),"Philadelphia socialites Tracy Lord and C.K. Dexter Haven married impulsively, with their marriage and subsequent divorce being equally passionate. They broke up when Dexter's drinking became excessive, it a mechanism to cope with Tracy's unforgiving manner to the imperfect, imperfections which Dexter admits he readily has. Two years after their break-up, Tracy is about to remarry, the ceremony to take place at the Lord mansion. Tracy's bridegroom is nouveau riche businessman and aspiring politician George Kittredge, who is otherwise a rather ordinary man and who idolizes Tracy. The day before the wedding, three unexpected guests show up at the Lord mansion: Macaulay Connor (Mike to his friends), Elizabeth Imbrie - the two who are friends of Tracy's absent brother, Junius- and Dexter himself. Dexter, an employee of the tabloid Spy magazine, made a deal with its publisher and editor Sidney Kidd to get a story on Tracy's wedding - the wedding of the year - in return for Kidd not publishing a salacious story with accompanying photographs of Tracy's father, Seth Lord, with a New York showgirl named Tina Marra. In reality, Mike and Liz are the reporter and photographer respectively for Spy. Mike and Liz don't particularly like this assignment or working for Kidd, but they need to make a living as their chosen other fields as serious writer and painter don't pay the bills. A suspicious Tracy is onto them, the entire truth which Dexter admits to her. Tracy decides to turn the tables on Mike and Liz. However, hours before the wedding, as the more self-assured Dexter and Liz get to work on how to get the Lords out from under Spy's threats, Tracy and Mike, both inebriated, go on a journey of self-discovery with Tracy ultimately coming to her realizations a little faster than Mike.","{'C. K. Dexter Haven': 'Cary Grant', 'Tracy Lord': 'Katharine Hepburn', 'Macaulay Connor': 'James Stewart', 'Elizabeth Imbrie': 'Ruth Hussey', 'George Kittredge': 'John Howard'}"
Harvey (1950),"Having been away for four months, Hildy Johnson walks into the offices of the New York City based The Morning Post, where she is a star reporter, to tell her boss, editor Walter Burns, that she is quitting. The reason for her absence was among other things to get a Reno divorce, from, of all people, Walter, who admits he was a bad husband. Hildy divorced Walter largely because she wanted more of a home life, whereas Walter saw her more as a driven hard-boiled reporter than subservient homemaker. Hildy has also come to tell Walter that she is taking the afternoon train to Albany, where she will be getting married tomorrow to staid straight-laced insurance agent, Bruce Baldwin, with whose mother they will live, at least for the first year. Walter doesn't want to lose Hildy, either as a reporter or a wife, and if he does, doesn't believe Bruce is worthy of her. Walter does whatever he can at least to delay Hildy and Bruce's trip, long enough to persuade Hildy to stay for good. His plan includes doing whatever he can to place Bruce in a bad light, while dangling a big story under her nose, namely covering what the newspaper believes is the unfair imminent execution of convicted cop killer, Earl Williams. Hildy doesn't trust Walter in dealing with her and Bruce in an above board manner, but the lure of what potentially may become the biggest story in years, which includes true love, a bumbling sheriff and a corrupt mayor, the latter's actions largely in light of an upcoming election, may prove to be too much for Hildy to resist, especially if it ends up being an exclusive. Regardless of the story outcome, Hildy will have to decide if the thrill of the chase was worth the anguish on her personal life.","{'Walter Burns': 'Cary Grant', 'Hildy Johnson': 'Rosalind Russell', 'Bruce Baldwin': 'Ralph Bellamy', 'Sheriff Hartwell': 'Gene Lockhart', 'Murphy': 'Porter Hall'}"
The Asphalt Jungle (1950),"A simple stagecoach trip is complicated by the fact that Geronimo is on the warpath in the area. The passengers on the coach include a drunken doctor, two women, a bank manager who has taken off with his client's money, and the famous Ringo Kid, among others.","{'Dallas': 'Claire Trevor', 'Ringo Kid': 'John Wayne', 'Buck': 'Andy Devine', 'Hatfield': 'John Carradine', 'Doc Josiah Boone': 'Thomas Mitchell'}"
Miracle on 34th Street (1947),"Mild mannered zoology professor Dr. David Huxley is excited by the news that an intercostal clavicle bone has been found to complete his brontosaurus skeleton, a project four years in the construction. He is equally excited about his imminent marriage to his assistant, the officious Alice Swallow, who is interested in him more for his work than for him as a person. David needs the $1 million endowment of wealthy dowager Mrs. Carleton Random to complete the project. Her lawyer, Alexander Peabody, will make the decision on her behalf, so David needs to get in his favor. However, whenever David tries to make a good impression on Peabody, the same young woman always seems to do something to make him look bad. She is the flighty heiress Susan Vance. The more David wants Susan to go away, the more Susan seems not to want or be able to. But David eventually learns that Alexander Peabody is her good friend, who she calls Boopy, and Susan's Aunt Elizabeth, with whom David has also made a bad impression without her knowing who he is, is Mrs. Carleton Random. However getting in Aunt Elizabeth and Boopy's good graces is not as easy as Susan smoothing the waters with them. Throw into the mix a tame pet leopard named Baby that Susan's brother Mark inexplicably sends her from Brazil, Aunt Elizabeth's big game hunting friend Major Horace Applegate, Aunt Elizabeth's pet terrier George who has a penchant for burying bones and other things, and a traveling circus passing through town and David may never be able to finish his project or make it to his wedding. But David may come to the realization that there is something more important in his life.","{'Susan Vance': 'Katharine Hepburn', 'David Huxley': 'Cary Grant', 'Major Applegate': 'Charles Ruggles', 'Slocum': 'Walter Catlett', 'Mr. Gogarty': 'Barry Fitzgerald'}"
The Big Sleep (1946),"Sir Robin of Locksley, defender of downtrodden Saxons, runs afoul of Norman authority and is forced to turn outlaw. With his band of Merry Men, he robs from the rich, gives to the poor and still has time to woo the lovely Maid Marian, and foil the cruel Sir Guy of Gisbourne, and keep the nefarious Prince John off the throne.","{'Robin Hood': 'Errol Flynn', 'Maid Marian': 'Olivia de Havilland', 'Sir Guy of Gisbourne': 'Basil Rathbone', 'Prince John': 'Claude Rains', 'Will Scarlett': 'Patric Knowles'}"
The Lost Weekend (1945),"The Marx Brothers take on high society. Two lovers who are both in opera are prevented from being together by the man's lack of acceptance as an operatic tenor. Pulling several typical Marx Brothers' stunts, they arrange for the normal tenor to be absent so that the young lover can get his chance.","{'Otis B. Driftwood': 'Groucho Marx', 'Fiorello': 'Chico Marx', 'Tomasso': 'Harpo Marx', 'Rosa Castaldi': 'Kitty Carlisle', 'Riccardo Barone': 'Allan Jones'}"
The Philadelphia Story (1940),"Carl Denham needs to finish his movie and has the perfect location; Skull Island. But he still needs to find a leading lady. This 'soon-to-be-unfortunate' soul is Ann Darrow. No one knows what they will encounter on this island and why it is so mysterious, but once they reach it, they will soon find out. Living on this hidden island is a giant gorilla and this beast now has Ann in it's grasps. Carl and Ann's new love, Jack Driscoll must travel through the jungle looking for Kong and Ann, whilst avoiding all sorts of creatures and beasts.","{'Ann Darrow': 'Fay Wray', 'Carl Denham': 'Robert Armstrong', 'John Driscoll': 'Bruce Cabot', 'Capt. Englehorn': 'Frank Reicher', 'Charles Weston': 'Sam Hardy'}"
His Girl Friday (1940),"A circus trapeze artist, Cleopatra, takes an interest in Hans, a midget who works in the circus sideshow. Her interest however is in the money Hans will be inheriting and she is actually carrying on an affair with another circus performer, Hercules. Hans's fiancée does her best to convince him that he is being used but to no avail. At their wedding party, a drunken Cleopatra tells the sideshow freaks just what she thinks of them. Together, the freaks decide to make her one of their own.","{'Phroso': 'Wallace Ford', 'Venus': 'Leila Hyams', 'Cleopatra': 'Olga Baclanova', 'Roscoe': 'Roscoe Ates', 'Hercules': 'Henry Victor'}"
Stagecoach (1939),"Wisbourg, Germany based estate agent Knock dispatches his associate, Hutter, to Count Orlok's castle in Transylvania as the Count wants to purchase an isolated house in Wisbourg. They plan on selling him the one across the way from Hutter's own home. Hutter leaves his innocent wife, Ellen, with some friends while he is away. Hutter's trek is an unusual one, with many locals not wanting to take him near the castle where strange events have been occurring. Once at the castle, Hutter does manage to sell the Count the house, but he also notices and feels unusual occurrences, primarily feeling like there is a dark shadow hanging over him, even in the daytime when the Count is unusually asleep. Hutter eventually sees the Count's sleeping chamber in a crypt, and based on a book he has recently read, believes the Count is really a vampire or Nosferatu. While Hutter is trapped in the castle, the Count, hiding in a shipment of coffins, makes his way to Wisbourg, causing death along his way, which most attribute to the plague. Hutter himself tries to rush home to save his town and most importantly save Ellen from Nosferatu's imminent arrival. In Wisbourg, Ellen can feel the impending darkness as Nosferatu gets closer. But she learns that a sinless woman can sacrifice herself to kill the vampire. Will Hutter be able to save Ellen either from Nosferatu and/or her self-sacrifice?","{'Graf Orlok': 'Max Schreck', 'Hutter': 'Gustav von Wangenheim', 'Ellen - seine Frau': 'Greta Schröder', 'Harding - ein Reeder': 'Georg H. Schnell', 'Ruth - seine Schwester': 'Ruth Landshoff'}"
Bringing Up Baby (1938),"A talented American graduate of Oxford, using his unique skills, and audacity, creates a marijuana empire using the estates of impoverished British aristocrats. However, when he tries to sell his empire to a fellow American billionaire, a chain of events unfolds, involving blackmail, deception, mayhem and murder between street thugs, Russian oligarchs, Triad gangsters and gutter journalists.","{'Michael Pearson': 'Matthew McConaughey', 'Ray': 'Charlie Hunnam', 'Rosalind Pearson': 'Michelle Dockery', 'Matthew': 'Jeremy Strong', 'Jackie': 'Lyne Renée'}"
The Adventures of Robin Hood (1938),Naina Sethi a successful entrepreneur finds herself locked in a hotel room.When she gains conscious she finds herself lying to corpse of her lover Arjun she is arrested for the murder.But left on bail her lawyer Jimmy hires a defense lawyer Badal Gupta who hasn't lost a case since last 40 years.Badal and Naina discuss about the events that happened during that day.But Badal feels that there are lot many loopholes in Naina's story.,"{'Badal Gupta': 'Amitabh Bachchan', 'Naina Sethi': 'Taapsee Pannu', 'Rani Kaur Toor': 'Amrita Singh', 'Sunny Singh Toor': 'Antonio Aakeel', 'Arjun Joseph': 'Tony Luke'}"
A Night at the Opera (1935),"Hidayat Khan is the son of an Indian freedom fighter and agent posing as an informant for the Pakistani government. He wishes to make his 20-year-old daughter Sehmat an agent and continue the family tradition of being in service to the country. Sehmat leaves college. She is hastily trained by senior RAW officer Khalid Mir. Her father uses his friendship with Brigadier Syed of the Pakistan Army to get Sehmat married to his son, Iqbal Syed, a military officer. Sehmat quickly settles into her married life, she falls in love with Iqbal. But everything starts to complicated.","{'Sehmat Khan': 'Alia Bhatt', 'Iqbal Syed': 'Vicky Kaushal', 'Hidayat Khan': 'Rajit Kapoor', 'Brigadier Parvez Syed': 'Shishir Sharma', 'Mehboob Syed': 'Ashwath Bhatt'}"
King Kong (1933),"Keeping at bay his inner demons by devoting himself to art, metal drummer, Ruben, has been living for the moment for the past four years. Then, while on tour with his lead-singer/girlfriend, Lou, Ruben realises that his hearing is rapidly deteriorating. As this sudden hearing loss turns his world upside down, and numbing fear paired with angry denial take over, Ruben reluctantly accepts to join a small deaf community overseen by Joe, a compassionate Vietnam War veteran. Now, Ruben needs to find some solid ground, understand that being deaf is not a handicap and that deafness isn't something to fix. But, is Ruben willing to accept his new life and learn how to be deaf? —Nick Riganas","{'Ruben Stone': 'Riz Ahmed', 'Lou': 'Olivia Cooke', 'Joe': 'Paul Raci', 'Diane': 'Lauren Ridloff', 'Richard Berger': 'Mathieu Amalric'}"
Freaks (1932),"May/June 1940. Four hundred thousand British and French soldiers are hole up in the French port town of Dunkirk. The only way out is via sea, and the Germans have air superiority, bombing the British soldiers and ships without much opposition. The situation looks dire and, in desperation, Britain sends civilian boats in addition to its hard-pressed Navy to try to evacuate the beleaguered forces. This is that story, seen through the eyes of a soldier amongst those trapped forces, two Royal Air Force fighter pilots, and a group of civilians on their boat, part of the evacuation fleet.","{'Tommy': 'Fionn Whitehead', 'French Soldier': 'Damien Bonnard', 'Gibson': 'Aneurin Barnard', 'Grenadier': 'Lee Armstrong', 'Irate Soldier': 'James Bloor'}"
Nosferatu (1922),"On a warm summer evening, the loving couple of Rocco, a plastic surgeon, and Eva, a therapist, are expecting their good friends to share a pleasant gathering over dinner. Everything is in order: The first course is ready; the roast is in the oven; the table is set, and without a doubt, this is going to be a meeting of true friends. Before long, the group begins the feast; however, in this nice but somewhat ordinary dinner, there is certainly something missing. Perhaps, if everyone placed their mobile phones on the table--and like a dangerous Russian roulette shared whatever arrived (texts, WhatsApp messages, and calls)--it would spice things up. Clearly, this uncommon truth-or-dare game has no point among honest companions who share everything with each other; nevertheless, when the phones start ringing, who will be the one with the sweatiest palms? —Nick Riganas","{'Peppe': 'Giuseppe Battiston', 'Carlotta': 'Anna Foglietta', 'Rocco': 'Marco Giallini', 'Cosimo': 'Edoardo Leo', 'Lele': 'Valerio Mastandrea'}"
The Gentlemen (2019),"As the United States raced against Russia to put a man in space, NASA found untapped talent in a group of African-American female mathematicians that served as the brains behind one of the greatest operations in U.S. history. Based on the unbelievably true life stories of three of these women, known as ""human computers"", we follow these women as they quickly rose the ranks of NASA alongside many of history's greatest minds specifically tasked with calculating the momentous launch of astronaut John Glenn into orbit, and guaranteeing his safe return. Dorothy Vaughan, Mary Jackson, and Katherine Gobels Johnson crossed all gender, race, and professional lines while their brilliance and desire to dream big, beyond anything ever accomplished before by the human race, firmly cemented them in U.S. history as true American heroes.","{'Katherine G. Johnson': 'Taraji P. Henson', 'Dorothy Vaughan': 'Octavia Spencer', 'Mary Jackson': 'Janelle Monáe', 'Al Harrison': 'Kevin Costner', 'Vivian Mitchell': 'Kirsten Dunst'}"
Badla (2019),"Paddington is happily settled with the Brown family in Windsor Gardens, where he has become a popular member of the community, spreading joy and marmalade wherever he goes. While searching for the perfect present for his beloved Aunt Lucy's 100th birthday, Paddington spots a unique pop-up book in Mr. Gruber's antique shop, and embarks upon a series of odd jobs to buy it. But when the book is stolen, it's up to Paddington and the Browns to unmask the thief.","{'Uncle Pastuzo': 'Michael Gambon', 'Aunt Lucy': 'Imelda Staunton', 'Paddington': 'Ben Whishaw', 'Judy Brown': 'Madeleine Harris', 'Jonathan Brown': 'Samuel Joslin'}"
Raazi (2018),"What on earth can a rock star, a migrant laborer, a doctor and a cop possibly have in common? Simple, Punjab! 4 lives, 1 connection - 'Udta Punjab' takes you on a trip like never before. Shahid Kapoor, Kareena Kapoor, Alia Bhatt and Diljit Dosanjh play characters from different walks of life, fighting the menace of drugs in their own way. The film journeys into the artificial highs and the real lows that they face while treading the paths fraught with mortal dangers. But above all, Udta Punjab is about the famed Punjabi spirit, that despite being fully down, has the audacity of looking you in the eye and saying - Drugs di maa di!","{'Tommy Singh': 'Shahid Kapoor', 'Kumari Pinky': 'Alia Bhatt', 'Preet Sahani': 'Kareena Kapoor', 'Sartaj Singh': 'Diljit Dosanjh', 'Tayaji': 'Satish Kaushik'}"
사운드 오브 메탈 (2019),"Kubo lives a quiet, normal life in a small shoreside village until a spirit from the past turns his life upside down by re-igniting an age-old vendetta. This causes all sorts of havoc as gods and monsters chase Kubo who, in order to survive, must locate a magical suit of armor once worn by his late father, a legendary Samurai warrior.","{'Kubo': 'Art Parkinson', 'Mother': 'Charlize Theron', 'Kameyo': 'Brenda Vaccaro', 'Hashi': 'Cary-Hiroyuki Tagawa', 'Mari': 'Meyrick Murphy'}"
Dunkirk (2017),"Lee Chandler is a brooding, irritable loner who works as a handyman for a Boston apartment block. One damp winter day he gets a call summoning him to his hometown, north of the city. His brother's heart has given out suddenly, and he's been named guardian to his 16-year-old nephew. As if losing his only sibling and doubts about raising a teenager weren't enough, his return to the past re-opens an unspeakable tragedy.","{'Lee Chandler': 'Casey Affleck', 'Young Patrick': ""Ivy O'Brien"", 'Joe Chandler': 'Kyle Chandler', 'Mr. Martinez': 'Richard Donelly', 'Mrs. Groom': 'Virginia Loring Cooke'}"
Perfetti sconosciuti (2016),"In post-World War II Denmark, the Danish government puts their hated German prisoners of war to work clearing the 1.5 million landmines from the western beaches of the country. At one such beach, Sgt. Carl Leopold Rasmussen finds himself in charge of one such labor unit and finds they are largely all inexperienced boys. As the boys struggle to complete and survive their dangerous work, Sgt. Rasmussen's hate for Germans gradually cools as he grows to understand the horrific situation these child soldiers are in even as the mines claim more and more victims. Eventually, the boys and the Sergeant must decide what can be done in a situation that would be later be denounced by later generations as the worst war crime committed by the Danish government in its history.","{'Sgt. Carl Rasmussen': 'Roland Møller', 'Sebastian Schumann': 'Louis Hofmann', 'Helmut Morbach': 'Joel Basman', 'Lt. Ebbe Jensen': 'Mikkel Boe Følsgaard', 'Karin': 'Laura Bro'}"
Hidden Figures (2016),"All looks lost for the Rebellion against the Empire as they learn of the existence of a new super weapon, the Death Star. Once a possible weakness in its construction is uncovered, the Rebel Alliance must set out on a desperate mission to steal the plans for the Death Star. The future of the entire galaxy now rests upon its success.","{'Jyn Erso': 'Felicity Jones', 'Cassian Andor': 'Diego Luna', 'K-2SO': 'Alan Tudyk', 'Chirrut Îmwe': 'Donnie Yen', 'Baze Malbus': 'Wen Jiang'}"
Paddington 2 (2017),"With many people fearing the actions of super heroes, the government decides to push for the Hero Registration Act, a law that limits a hero's actions. This results in a division in The Avengers. Iron Man stands with this Act, claiming that their actions must be kept in check otherwise cities will continue to be destroyed, but Captain America feels that saving the world is daring enough and that they cannot rely on the government to protect the world. This escalates into an all-out war between Team Iron Man (Iron Man, Black Panther, Vision, Black Widow, War Machine, and Spider-Man) and Team Captain America (Captain America, Bucky Barnes, Falcon, Scarlet Witch, Hawkeye, and Ant Man) while a new villain emerges.","{'Steve Rogers / Captain America': 'Chris Evans', 'Tony Stark / Iron Man': 'Robert Downey Jr.', 'Natasha Romanoff / Black Widow': 'Scarlett Johansson', 'Bucky Barnes / Winter Soldier': 'Sebastian Stan', 'Sam Wilson / Falcon': 'Anthony Mackie'}"
Udta Punjab (2016),"Some time after the Civil War, a stagecoach hurtles through the wintry Wyoming landscape. Bounty hunter John Ruth and his fugitive captive Daisy Domergue race towards the town of Red Rock, where Ruth will bring Daisy to justice. Along the road, they encounter Major Marquis Warren (an infamous bounty hunter) and Chris Mannix (a man who claims to be Red Rock's new sheriff). Lost in a blizzard, the bunch seeks refuge at Minnie's Haberdashery. When they arrive they are greeted by unfamiliar faces: Bob, who claims to be taking care of the place while Minnie is gone; Oswaldo Mobray, the hangman of Red Rock; Joe Gage, a cow puncher; and confederate general Sanford Smithers. As the storm overtakes the mountainside, the eight travelers come to learn that they might not make it to Red Rock after all...","{'Major Marquis Warren': 'Samuel L. Jackson', 'John Ruth': 'Kurt Russell', 'Daisy Domergue': 'Jennifer Jason Leigh', 'Sheriff Chris Mannix': 'Walton Goggins', 'Bob': 'Demián Bichir'}"
Kubo and the Two Strings (2016),"In the years after the Civil War, Jo March (Saoirse Ronan) lives in New York City and makes her living as a writer, while her sister Amy March (Florence Pugh) studies painting in Paris. Amy has a chance encounter with Theodore ""Laurie"" Laurence (Timothée Chalamet), a childhood crush who proposed to Jo, but was ultimately rejected. Their oldest sibling, Meg March (Emma Watson), is married to a schoolteacher, while shy sister Beth (Eliza Scanlen) develops a devastating illness that brings the family back together.","{'Jo March': 'Saoirse Ronan', 'Meg March': 'Emma Watson', 'Amy March': 'Florence Pugh', 'Beth March': 'Eliza Scanlen', 'Marmee March': 'Laura Dern'}"
Manchester by the Sea (2016),"A year after the death of artist Vincent van Gogh (Robert Gulaczyk), Postman Joseph Roulin Chris O'Dowd) gets his slacker son, Armand (Douglas Booth), to hand deliver the artist's final letter written to his now late brother, Theo (Cezary Lukaszewicz), to some worthy recipient after multiple failed postal delivery attempts. Although disdainful of this seemingly pointless chore, Armand travels to Auvers-sur-Oise where a purported close companion to Vincent, Dr. Gachet (Jerome Flynn), lives. Having to wait until the doctor returns from business, Armand meets many of the people of that village who not only knew Vincent, but were apparently also models and inspirations for his art. In doing so, Armand becomes increasingly fascinated in the psyche and fate of van Gogh as numerous suspicious details fail to add up. However, as Armand digs further, he comes to realize that Vincent's troubled life is as much a matter of interpretation as his paintings, and there are no easy answers for a man whose work and tragedy would only be truly appreciated in the future.","{'Armand Roulin': 'Douglas Booth', 'The Zouave': 'Josh Burdett', 'La Mousme': 'Holly Earl', 'Lieutenant Milliet': 'Robin Hodges', 'Postman Joseph Roulin': ""Chris O'Dowd""}"
Under sandet (2015),"In 1984 20 year old closet gay Joe hesitantly arrives in London from Bromley for his first Gay Pride march and is taken under the collective wing of a group of gay men and Lesbian Steph, who meet at flamboyant Jonathan and his Welsh partner Gethin's Soho bookshop. Not only are gays being threatened by Thatcher but the miners are on strike in response to her pit closures and Northern Irish activist Mark Ashton believes gays and miners should show solidarity. Almost by accident a mini-bus full of gays find themselves in the Welsh village of Onllwyn in the Dulais valley and through their sincere fund raising and Jonathan's nifty disco moves persuade most of the community that they are on the same side. When a bigot tries to sabotage the partnership with a tabloid smear Mark turns it back on her with a hugely successful benefit concert to which most of the villagers, now thoroughly in tune with their gay friends, turn up. The miners are defeated and return to work but at the Pride march the following year a vast contingent of miners show up to repay their comrades with their show of support.","{'Mark Ashton': 'Ben Schnetzer', 'Young Guy': 'Abram Rooney', 'Old Man': 'Jim McManus', 'Joe Cooper': 'George MacKay', 'Marion Cooper': 'Monica Dolan'}"
Rogue One (2016),"NIGHTCRAWLER is a thriller set in the nocturnal underbelly of contemporary Los Angeles. Jake Gyllenhaal stars as Lou Bloom, a driven young man desperate for work who discovers the high-speed world of L.A. crime journalism. Finding a group of freelance camera crews who film crashes, fires, murder and other mayhem, Lou muscles into the cut-throat, dangerous realm of nightcrawling - where each police siren wail equals a possible windfall and victims are converted into dollars and cents. Aided by Rene Russo as Nina, a veteran of the blood-sport that is local TV news, Lou blurs the line between observer and participant to become the star of his own story.","{'Louis Bloom': 'Jake Gyllenhaal', 'Security Guard': 'Michael Papajohn', 'Scrapyard Owner': 'Marco Rodríguez', 'Joe Loder': 'Bill Paxton', 'Marcus Mayhem Video': 'James Huang'}"
Captain America: Civil War (2016),"30 years after the defeat of Darth Vader and the Empire, Rey, a scavenger from the planet Jakku, finds a BB-8 droid that knows the whereabouts of the long lost Luke Skywalker. Rey, as well as a rogue stormtrooper and two smugglers, are thrown into the middle of a battle between the Resistance and the daunting legions of the First Order.","{'Han Solo': 'Harrison Ford', 'Luke Skywalker': 'Mark Hamill', 'Princess Leia': 'Carrie Fisher', 'Kylo Ren': 'Adam Driver', 'Rey': 'Daisy Ridley'}"
The Hateful Eight (2015),"Journalist Jep Gambardella has charmed and seduced his way through the lavish nightlife of Rome for decades. Since the legendary success of his one and only novel, he has been a permanent fixture in the city's literary and social circles, but when his 65th birthday coincides with a shock from the past, Jep finds himself unexpectedly taking stock of his life, turning his cutting wit on himself and his contemporaries, and looking past the extravagant nightclubs, parties, and cafés to find Rome in all its glory: a timeless landscape of absurd, exquisite beauty.","{'Jep Gambardella': 'Toni Servillo', 'Romano': 'Carlo Verdone', 'Ramona': 'Sabrina Ferilli', 'Lello Cava': 'Carlo Buccirosso', 'Trumeau': 'Iaia Forte'}"
Little Women (2019),"The film, set in Mumbai, revolves around a mistaken delivery by the Dabbawalas (lunchbox service) of Mumbai, which leads to a relationship between Saajan, a lonely widower close to retirement, and Ila, an unhappy housewife, as they start exchanging notes through the daily lunchbox.","{'Saajan Fernandes': 'Irrfan Khan', 'Ila': 'Nimrat Kaur', 'Shaikh': 'Nawazuddin Siddiqui', ""Ila's Mother"": 'Lillete Dubey', 'Rajeev': 'Nakul Vaid'}"
